iter	RMSE
0	56.25028878
1	55.74649975
2	55.24738124
3	54.75517162
4	54.26706615
5	53.78639493
6	53.31201489
7	52.84009323
8	52.371982
9	51.91091538
10	51.45542055
11	51.00308811
12	50.55796832
13	50.1151576
14	49.67965371
15	49.25181627
16	48.82408616
17	48.39992783
18	47.98176439
19	47.56949855
20	47.15861711
21	46.75102181
22	46.35017139
23	45.9553542
24	45.56445047
25	45.17759669
26	44.79502252
27	44.415261
28	44.04025493
29	43.66784427
30	43.30177519
31	42.93862418
32	42.58045918
33	42.22646576
34	41.8793929
35	41.53322114
36	41.19008491
37	40.85017884
38	40.51582134
39	40.18423351
40	39.85840769
41	39.53146169
42	39.21321387
43	38.89621155
44	38.58159157
45	38.27170062
46	37.96474913
47	37.66289887
48	37.36511026
49	37.06902642
50	36.77616806
51	36.48626119
52	36.19920948
53	35.91517032
54	35.63524939
55	35.35999772
56	35.08607745
57	34.81720385
58	34.54744382
59	34.28323381
60	34.02221094
61	33.76475276
62	33.50986975
63	33.25730714
64	33.00796943
65	32.76233416
66	32.51909576
67	32.27861125
68	32.04068044
69	31.80614959
70	31.57269986
71	31.34518827
72	31.11918594
73	30.89502532
74	30.67443873
75	30.45745938
76	30.2424881
77	30.02931291
78	29.81723971
79	29.61088509
80	29.4054687
81	29.20128785
82	29.00238316
83	28.80688215
84	28.60964884
85	28.41595152
86	28.22824391
87	28.04038671
88	27.85295224
89	27.66950441
90	27.48871221
91	27.30801128
92	27.12987892
93	26.95597805
94	26.78454883
95	26.61367761
96	26.44497945
97	26.27860792
98	26.11325807
99	25.95052517
100	25.78866754
101	25.63006409
102	25.4742633
103	25.31876216
104	25.16636364
105	25.01667656
106	24.86805813
107	24.72257732
108	24.5781833
109	24.43500133
110	24.29428347
111	24.15691771
112	24.01968843
113	23.883625
114	23.75017142
115	23.61855583
116	23.48734653
117	23.35920748
118	23.23220753
119	23.10624383
120	22.98332476
121	22.86101845
122	22.73933053
123	22.61971847
124	22.5022064
125	22.38811751
126	22.27372138
127	22.16101712
128	22.05024278
129	21.94016315
130	21.8334795
131	21.72648364
132	21.62177644
133	21.51799514
134	21.41636289
135	21.31864275
136	21.21828089
137	21.12102062
138	21.02495049
139	20.92851745
140	20.83462424
141	20.74197898
142	20.64943615
143	20.5585154
144	20.46870764
145	20.38079709
146	20.29441213
147	20.20866653
148	20.12280074
149	20.03706029
150	19.95339712
151	19.87148024
152	19.79188955
153	19.71327261
154	19.63700337
155	19.56044512
156	19.48474976
157	19.40995694
158	19.33516973
159	19.26231218
