iter	Passed	Remaining
0	59	89531
1	121	91237
2	182	91125
3	240	90021
4	301	90029
5	360	89870
6	424	90446
7	490	91397
8	552	91529
9	611	91148
10	672	91012
11	731	90656
12	818	93570
13	912	96807
14	986	97699
15	1057	98045
16	1123	98002
17	1184	97516
18	1248	97356
19	1313	97178
20	1375	96863
21	1437	96582
22	1498	96217
23	1562	96095
24	1627	95997
25	1689	95773
26	1748	95414
27	1813	95342
28	1872	94980
29	1931	94638
30	1990	94316
31	2059	94474
32	2136	94968
33	2200	94877
34	2263	94758
35	2324	94512
36	2383	94259
37	2443	93995
38	2504	93826
39	2563	93568
40	2624	93404
41	2683	93159
42	2745	93014
43	2817	93217
44	2878	93079
45	2938	92869
46	2999	92742
47	3059	92538
48	3118	92340
49	3175	92082
50	3237	91974
51	3296	91807
52	3356	91627
53	3415	91459
54	3477	91362
55	3537	91207
56	3597	91085
57	3657	90941
58	3719	90852
59	3784	90833
60	3848	90785
61	3906	90611
62	3969	90532
63	4028	90381
64	4087	90244
65	4153	90243
66	4225	90374
67	4300	90569
68	4380	90844
69	4449	90895
70	4515	90884
71	4584	90922
72	4651	90932
73	4718	90928
74	4796	91140
75	4865	91156
76	4931	91141
77	4998	91128
78	5063	91077
79	5125	90970
80	5186	90866
81	5250	90799
82	5310	90664
83	5373	90584
84	5452	90770
85	5531	90953
86	5615	91200
87	5696	91406
88	5783	91688
89	5867	91918
90	5953	92176
91	6025	92212
92	6104	92349
93	6182	92467
94	6261	92597
95	6340	92730
96	6409	92700
97	6473	92611
98	6542	92591
99	6620	92681
100	6685	92601
101	6756	92604
102	6845	92846
103	6925	92963
104	6996	92948
105	7059	92845
106	7121	92715
107	7184	92597
108	7257	92610
109	7321	92516
110	7383	92396
111	7445	92270
112	7509	92175
113	7574	92084
114	7634	91947
115	7696	91823
116	7764	91786
117	7835	91767
118	7902	91711
119	7966	91610
120	8029	91506
121	8093	91415
122	8157	91326
123	8223	91254
124	8287	91157
125	8349	91051
126	8409	90918
127	8475	90845
128	8539	90761
129	8601	90641
130	8666	90564
131	8729	90474
132	8810	90553
133	8879	90513
134	8946	90456
135	9009	90364
136	9071	90247
137	9133	90142
138	9197	90055
139	9259	89953
140	9322	89857
141	9388	89790
142	9452	89698
143	9517	89627
144	9579	89523
145	9647	89466
146	9712	89391
147	9787	89408
148	9856	89373
149	9922	89305
150	9986	89217
151	10050	89136
152	10116	89068
153	10179	88975
154	10244	88893
155	10308	88814
156	10373	88739
157	10438	88661
158	10501	88569
159	10569	88521
160	10655	88617
161	10725	88581
162	10792	88525
163	10855	88429
164	10917	88328
165	10979	88236
166	11046	88172
167	11109	88086
168	11172	87992
169	11234	87892
170	11297	87804
171	11359	87706
172	11422	87615
173	11484	87518
174	11547	87432
175	11612	87355
176	11682	87321
177	11770	87421
178	11859	87520
179	11931	87496
180	11996	87425
181	12063	87362
182	12128	87286
183	12195	87221
184	12261	87155
185	12323	87057
186	12384	86954
187	12454	86914
188	12532	86929
189	12609	86936
190	12683	86925
191	12758	86920
192	12831	86893
193	12910	86915
194	12985	86906
195	13055	86861
196	13118	86769
197	13184	86694
198	13247	86610
199	13313	86536
200	13378	86463
201	13442	86376
202	13505	86287
203	13567	86192
204	13630	86104
205	13693	86014
206	13768	86005
207	13839	85964
208	13909	85921
209	13973	85835
210	14036	85750
211	14102	85678
212	14166	85597
213	14228	85505
214	14294	85434
215	14358	85354
216	14426	85293
217	14491	85220
218	14557	85153
219	14621	85073
220	14685	84987
221	14763	84988
222	14836	84957
223	14902	84890
224	14966	84807
225	15028	84716
226	15091	84633
227	15154	84544
228	15219	84473
229	15287	84413
230	15351	84332
231	15416	84258
232	15480	84177
233	15543	84096
234	15610	84028
235	15675	83956
236	15749	83930
237	15823	83903
238	15893	83858
239	15961	83798
240	16023	83708
241	16087	83627
242	16153	83559
243	16217	83479
244	16281	83399
245	16344	83317
246	16409	83241
247	16473	83166
248	16537	83086
249	16600	83001
250	16665	82929
251	16738	82896
252	16809	82852
253	16877	82794
254	16942	82717
255	17004	82629
256	17068	82555
257	17134	82485
258	17198	82408
259	17262	82330
260	17327	82256
261	17393	82185
262	17458	82116
263	17522	82039
264	17589	81971
265	17655	81907
266	17723	81844
